Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 30.68    308.89   308.89 5640661644     0.00     0.00  ExecInterpExpr
 12.47    434.47   125.58 2820130826     0.00     0.00  ExecNestLoop
 11.69    552.16   117.69                             _init
  9.78    650.66    98.50 2820230976     0.00     0.00  tuplestore_gettupleslot
  6.83    719.44    68.78 2820130826     0.00     0.00  fetch_input_tuple
  5.68    776.60    57.16 2820230976     0.00     0.00  tuplestore_gettuple
  5.48    831.73    55.13 2819730966     0.00     0.00  ExecStoreMinimalTuple
  4.88    880.82    49.09 2820630816     0.00     0.00  ExecMaterial
  3.76    918.70    37.88       20     1.89    44.45  ExecAgg
  2.96    948.53    29.83 5644511899     0.00     0.00  MemoryContextReset
  2.37    972.38    23.85 2820130816     0.00     0.00  int8inc
  1.99    992.42    20.04 2821281238     0.00     0.00  tts_virtual_clear
  1.39   1006.44    14.02 2820630816     0.00     0.00  tuplestore_ateof
  0.00   1006.49     0.05   500000     0.00     0.00  ExecReScan
  0.00   1006.52     0.03     7615     0.00     0.00  hash_search_with_hash_value
  0.00   1006.54     0.02   800160     0.00     0.00  heap_fill_tuple
  0.00   1006.56     0.02   750040     0.00     0.00  index_deform_tuple_internal
  0.00   1006.58     0.02   500012     0.00     0.00  heap_getnextslot
  0.00   1006.60     0.02     6464     0.00     0.00  hash_bytes
  0.00   1006.62     0.02     4787     0.00     0.00  StartReadBuffer
  0.00   1006.64     0.02     2812     0.00     0.00  RecoveryInProgress
  0.00   1006.66     0.02     2361     0.00     0.00  heap_page_prune_opt
  0.00   1006.67     0.01  1500180     0.00     0.00  tts_minimal_clear
  0.00   1006.68     0.01   750020     0.00     0.00  ExecIndexOnlyScan
  0.00   1006.69     0.01   500010     0.00     0.00  ExecSeqScan
  0.00   1006.70     0.01   500000     0.00     0.00  ExecReScanMaterial
  0.00   1006.71     0.01     4809     0.00     0.00  pgstat_count_io_op
  0.00   1006.72     0.01     2208     0.00     0.00  _bt_readpage
  0.00   1006.73     0.01      240     0.00     0.00  handle_pm_child_exit_signal
  0.00   1006.74     0.01                             __aarch64_cas4_acq_rel
  0.00   1006.75     0.01                             wrapper_handler
  0.00   1006.75     0.00  1100010     0.00     0.00  MJEvalInnerValues
  0.00   1006.75     0.00  1100000     0.00     0.00  ExecJustInnerVarVirt
  0.00   1006.75     0.00  1100000     0.00     0.00  MJCompare
  0.00   1006.75     0.00  1100000     0.00     0.00  ssup_datum_int32_cmp
  0.00   1006.75     0.00   804121     0.00     0.00  palloc0
  0.00   1006.75     0.00   800160     0.00     0.00  heap_compute_data_size
  0.00   1006.75     0.00   800150     0.00     0.00  heap_form_minimal_tuple
  0.00   1006.75     0.00   800150     0.00     0.00  tts_virtual_copy_minimal_tuple
  0.00   1006.75     0.00   754507     0.00     0.00  BufferGetBlockNumber
  0.00   1006.75     0.00   752218     0.00     0.00  PredicateLockPage
  0.00   1006.75     0.00   750303     0.00     0.00  btgettuple
  0.00   1006.75     0.00   750303     0.00     0.00  index_getnext_tid
  0.00   1006.75     0.00   750128     0.00     0.00  _bt_next
  0.00   1006.75     0.00   750040     0.00     0.00  index_deform_tuple
  0.00   1006.75     0.00   750040     0.00     0.00  visibilitymap_get_status
  0.00   1006.75     0.00   750020     0.00     0.00  ExecScan
  0.00   1006.75     0.00   750020     0.00     0.00  IndexOnlyNext
